Accession-1,Gene Name,start,end,Genes in same transcription unit,Promoters,Centisome-Position,Direction,Transcription Units,operon,promotorstart,promotorend,operon_direction
b3838,tatB,4022218,4022733,tatD // tatC // tatB // tatA,tatAp1 // tatAp1,86.65488,+,tatABC // tatABC,tatABCD,4021645,4021945,+
b3839,tatC,4022736,4023512,tatD // tatC // tatB // tatA,tatAp1 // tatAp1,86.66604,+,tatABC // tatABC,tatABCD,4021645,4021945,+
b3842,rfaH,4024333,4024821,rfaH,,86.70045,-,rfaH,rfaH,4024821,4025121,-
b3843,ubiD,4024988,4026481,ubiD,,86.71456,+,ubiD,ubiD,4024688,4024988,+
b3844,fre,4026527,4027228,fre,frep2 // frep1,86.74771,+,fre // fre,fre,4026227,4026527,+
b3845,fadA,4027609,4028772,fadA // fadB,fadBp,86.77103,-,fadBA,fadBA,4030971,4031271,-
b3846,fadB,4028782,4030971,fadA // fadB,fadBp,86.796295,-,fadBA,fadBA,4030971,4031271,-
b3847,pepQ,4031161,4032492,hemG // trkH // yigZ // pepQ,pepQp,86.84755,+,pepQ-yigZ-trkH-hemG,pepQ-yigZ-trkH-hemG,4030861,4031161,+
b3848,yigZ,4032492,4033106,hemG // trkH // yigZ // pepQ,pepQp,86.87623,+,pepQ-yigZ-trkH-hemG,pepQ-yigZ-trkH-hemG,4030861,4031161,+
b3849,trkH,4033145,4034596,hemG // trkH // yigZ // pepQ,pepQp,86.89029,+,pepQ-yigZ-trkH-hemG,pepQ-yigZ-trkH-hemG,4030861,4031161,+
b3850,hemG,4034608,4035153,hemG // trkH // yigZ // pepQ,pepQp,86.921814,+,pepQ-yigZ-trkH-hemG,pepQ-yigZ-trkH-hemG,4030861,4031161,+
b3851,rrsA,4035531,4037072,alaT // ileT // rrsA // rrfA // rrlA,rrsAp // rrsAp2 // rrsAp1,86.941696,+,rrsA-ileT-alaT-rrlA-rrfA // rrsA-ileT-alaT-rrlA-rrfA // rrsA-ileT-alaT-rrlA-rrfA,rrsA-ileT-alaT-rrlA-rrfA,4035231,4035531,+
b3852,ileT,4037141,4037217,alaT // ileT // rrsA // rrfA // rrlA,rrsAp // rrsAp2 // rrsAp1,86.97639,+,rrsA-ileT-alaT-rrlA-rrfA // rrsA-ileT-alaT-rrlA-rrfA // rrsA-ileT-alaT-rrlA-rrfA,rrsA-ileT-alaT-rrlA-rrfA,4035231,4035531,+
b3853,alaT,4037260,4037335,alaT // ileT // rrsA // rrfA // rrlA,rrsAp // rrsAp2 // rrsAp1,86.97895,+,rrsA-ileT-alaT-rrlA-rrfA // rrsA-ileT-alaT-rrlA-rrfA // rrsA-ileT-alaT-rrlA-rrfA,rrsA-ileT-alaT-rrlA-rrfA,4035231,4035531,+
b3854,rrlA,4037519,4040423,alaT // ileT // rrsA // rrfA // rrlA,rrsAp // rrlAp // rrsAp2 // rrsAp1,86.98453,+,rrsA-ileT-alaT-rrlA-rrfA // rrlA-rrfA // rrsA-ileT-alaT-rrlA-rrfA // rrsA-ileT-alaT-rrlA-rrfA,rrsA-ileT-alaT-rrlA-rrfA,4035231,4035531,+
b3855,rrfA,4040517,4040636,alaT // ileT // rrsA // rrfA // rrlA,rrsAp // rrlAp // rrsAp2 // rrsAp1,87.04912,+,rrsA-ileT-alaT-rrlA-rrfA // rrlA-rrfA // rrsA-ileT-alaT-rrlA-rrfA // rrsA-ileT-alaT-rrlA-rrfA,rrsA-ileT-alaT-rrlA-rrfA,4035231,4035531,+
b3856,mobB,4040906,4041433,mobB // mobA,mobAp2 // mobAp1,87.057495,-,mobAB // mobAB,mobAB,4041999,4042299,-
b3857,mobA,4041415,4041999,mobB // mobA,mobAp2 // mobAp1,87.06847,-,mobAB // mobAB,mobAB,4041999,4042299,-
b3858,yihD,4042069,4042338,yihD,yihDp,87.08255,+,yihD,yihD,4041769,4042069,+
b3859,srkA,4042415,4043401,srkA // dsbA,srkAp,87.090004,+,srkA-dsbA,srkA-dsbA,4042115,4042415,+
b3860,dsbA,4043418,4044044,dsbA // srkA,dsbAp // srkAp,87.11162,+,dsbA // srkA-dsbA,srkA-dsbA,4042115,4042415,+
b3861,yihF,4044199,4045629,yihF,,87.12844,+,yihF,yihF,4043899,4044199,+
b3862,yihG,4045670,4046602,yihG,yihGp,87.16013,-,yihG,yihG,4046602,4046902,-
b3863,polA,4046966,4049752,polA,polAp,87.18805,+,polA,polA,4046666,4046966,+
b3864,spf,4049899,4050009,spf,spfp,87.25124,+,spf,spf,4049599,4049899,+
b3865,yihA,4050133,4050765,yihA,,87.25628,-,yihA,yihA,4050765,4051065,-
b3866,yihI,4051347,4051856,yihI,yihIp,87.28244,+,yihI,yihI,4051047,4051347,+
b3867,hemN,4052045,4053418,hemN,hemNp,87.29748,+,hemN,hemN,4051745,4052045,+
b3868,glnG,4053869,4055278,glnA // glnG // glnL,glnAp2 // glnLp // glnAp1,87.33677,-,glnALG // glnLG // glnALG,glnALG,4058034,4058334,-
b3869,glnL,4055290,4056339,glnA // glnG // glnL,glnAp2 // glnLp // glnAp1,87.367386,-,glnALG // glnLG // glnALG,glnALG,4058034,4058334,-
b3870,glnA,4056625,4058034,glnG // glnL // glnA,glnAp2 // glnAp1 // glnAp2 // glnAp1,87.39615,-,glnA // glnA // glnALG // glnALG,glnALG,4058034,4058334,-
b3871,bipA,4058407,4060230,bipA,,87.43454,+,bipA,bipA,4058107,4058407,+
b3872,yihL,4060447,4061157,yihM // yihL,,87.478485,+,yihLM,yihLM,4060147,4060447,+
b3873,yihM,4061165,4062145,yihM // yihL,,87.49396,+,yihLM,yihLM,4060147,4060447,+
b3874,yihN,4062247,4063512,yihN,,87.517265,+,yihN,yihN,4061947,4062247,+
b3875,ompL,4063603,4064295,ompL,,87.54648,-,ompL,ompL,4064295,4064595,-
b3876,yihO,4064363,4065766,yihP // yihO,,87.56285,-,yihPO,yihPO,4067194,4067494,-
b3877,yihP,4065809,4067194,yihP // yihO,,87.59401,-,yihPO,yihPO,4067194,4067494,-
b3878,yihQ,4067240,4069276,yihQ,,87.62483,-,yihQ,yihQ,4069276,4069576,-
b3879,yihR,4069475,4070401,yihR,,87.67299,-,yihR,yihR,4070401,4070701,-
b3880,yihS,4070515,4071756,yihS // yihT // yihU,yihUp5 // yihUp4 // yihUp3 // yihUp2 // yihUp1,87.6954,-,yihUTS // yihUTS // yihUTS // yihUTS // yihUTS,yihUTS,4073571,4073871,-
b3881,yihT,4071773,4072651,yihS // yihT // yihU,yihUp5 // yihUp4 // yihUp3 // yihUp2 // yihUp1,87.722496,-,yihUTS // yihUTS // yihUTS // yihUTS // yihUTS,yihUTS,4073571,4073871,-
b3882,yihU,4072675,4073571,yihS // yihT // yihU,yihUp5 // yihUp4 // yihUp3 // yihUp2 // yihUp1,87.74193,-,yihUTS // yihUTS // yihUTS // yihUTS // yihUTS,yihUTS,4073571,4073871,-
b3883,yihV,4073739,4074635,yihV // csqR,yihVp1,87.764854,+,yihV-csqR,yihV-csqR,4073439,4073739,+
b3884,csqR,4074669,4075454,csqR // yihV,csqRp // yihVp1,87.78489,+,yihW // yihV-csqR,yihV-csqR,4073439,4073739,+
b3885,yihX,4075553,4076152,fabY // dtd // yihY // yihX,yihXp,87.80393,+,yihXY-dtd-fabY,yihXY-dtd-fabY,4075253,4075553,+
b3886,yihY,4076146,4077018,fabY // dtd // yihY // yihX,yihXp,87.81671,+,yihXY-dtd-fabY,yihXY-dtd-fabY,4075253,4075553,+
b3887,dtd,4077015,4077452,fabY // dtd // yihY // yihX,yihXp,87.835434,+,yihXY-dtd-fabY,yihXY-dtd-fabY,4075253,4075553,+
b3888,fabY,4077449,4078438,fabY // dtd // yihY // yihX,yihXp,87.84478,+,yihXY-dtd-fabY,yihXY-dtd-fabY,4075253,4075553,+
b3889,yiiE,4079291,4079509,yiiE,,87.88446,+,yiiE,yiiE,4078991,4079291,+
b3890,yiiF,4079751,4079969,yiiF,,87.89437,+,yiiF,yiiF,4079451,4079751,+
b3891,fdhE,4080299,4081228,fdhE // fdoI // fdoH // fdoG,,87.90618,-,fdoGHI-fdhE,fdoGHI-fdhE,4085822,4086122,-
b3892,fdoI,4081225,4081860,fdhE // fdoI // fdoH // fdoG,,87.92613,-,fdoGHI-fdhE,fdoGHI-fdhE,4085822,4086122,-
b3893,fdoH,4081857,4082759,fdhE // fdoI // fdoH // fdoG,,87.93974,-,fdoGHI-fdhE,fdoGHI-fdhE,4085822,4086122,-
b3894,fdoG,4082772,4085822,fdhE // fdoI // fdoH // fdoG,,87.95946,-,fdoGHI-fdhE,fdoGHI-fdhE,4085822,4086122,-
b3895,fdhD,4086016,4086849,fdhD,,88.02935,+,fdhD,fdhD,4085716,4086016,+
b3896,yiiG,4087002,4088057,yiiG,,88.05059,+,yiiG,yiiG,4086702,4087002,+
b3897,frvR,4088107,4089855,frvA // frvB // frvX // frvR,,88.0744,-,frvABXR,frvABXR,4092823,4093123,-
b3898,frvX,4089855,4090925,frvA // frvB // frvX // frvR,,88.11205,-,frvABXR,frvABXR,4092823,4093123,-
b3899,frvB,4090915,4092366,frvA // frvB // frvX // frvR,,88.13489,-,frvABXR,frvABXR,4092823,4093123,-
b3900,frvA,4092377,4092823,frvA // frvB // frvX // frvR,,88.16639,-,frvABXR,frvABXR,4092823,4093123,-
b3901,rhaM,4093124,4093438,rhaM,,88.18249,-,rhaM,rhaM,4093438,4093738,-
b3902,rhaD,4093448,4094272,rhaD // rhaA // rhaB,rhaDp // rhaBp,88.18947,-,rhaD // rhaBAD,rhaBAD,4097448,4097748,-
b3903,rhaA,4094723,4095982,rhaA // rhaB // rhaD,rhaBp,88.216934,-,rhaBAD,rhaBAD,4097448,4097748,-
b3904,rhaB,4095979,4097448,rhaA // rhaB // rhaD,rhaBp,88.24399,-,rhaBAD,rhaBAD,4097448,4097748,-
b3905,rhaS,4097736,4098572,rhaS // rhaR,rhaSp2 // rhaSp,88.281845,+,rhaSR // rhaSR,rhaSR,4097436,4097736,+
b3906,rhaR,4098646,4099494,rhaS // rhaR,rhaSp2 // rhaSp,88.30145,+,rhaSR // rhaSR,rhaSR,4097436,4097736,+
b3907,rhaT,4099491,4100525,rhaT,rhaTp,88.31966,-,rhaT,rhaT,4100525,4100825,-
b3908,sodA,4100810,4101430,sodA,sodAp,88.348076,+,sodA,sodA,4100510,4100810,+
b3909,kdgT,4101690,4102673,kdgT,,88.36703,+,kdgT,kdgT,4101390,4101690,+
b3910,yiiM,4102822,4103496,yiiM,,88.39142,+,yiiM,yiiM,4102522,4102822,+
b3911,cpxA,4103602,4104975,cpxA // cpxR,cpxRp2 // cpxRp,88.40822,-,cpxRA // cpxRA,cpxRA,4105670,4105970,-
b3912,cpxR,4104972,4105670,cpxA // cpxR,cpxRp2 // cpxRp,88.43774,-,cpxRA // cpxRA,cpxRA,4105670,4105970,-
b3915,fieF,4106469,4107371,fieF,,88.469986,+,fieF,fieF,4106169,4106469,+
b3916,pfkA,4107552,4108514,pfkA,pfkAp3 // pfkAp // pfkAp1 // pfkAp2,88.493324,+,pfkA // pfkA // pfkA // pfkA,pfkA,4107252,4107552,+
b3917,sbp,4108834,4109823,sbp,,88.520935,+,sbp,sbp,4108534,4108834,+
b3918,cdh,4109930,4110685,cdh,cdhp,88.544556,+,cdh,cdh,4109630,4109930,+
b3919,tpiA,4110740,4111507,tpiA,tpiAp // tpiAp2 // tpiAp1,88.562004,-,tpiA // tpiA // tpiA,tpiA,4111507,4111807,-
b3920,yiiQ,4111615,4112214,yiiQ,,88.58086,-,yiiQ,yiiQ,4112214,4112514,-
b3921,yiiR,4112315,4112755,yiiR,,88.59593,+,yiiR,yiiR,4112015,4112315,+
b3922,yiiS,4112967,4113266,uspD // yiiS,yiiSp,88.609985,+,yiiS-uspD,yiiS-uspD,4112667,4112967,+
b3923,uspD,4113293,4113721,uspD // yiiS,yiiSp,88.617004,+,yiiS-uspD,yiiS-uspD,4112667,4112967,+
b3924,fpr,4113726,4114472,fpr,fprp,88.62633,-,fpr,fpr,4114472,4114772,-
b3925,glpX,4114569,4115579,glpX // glpK // glpF,glpFp,88.64449,-,glpFKX,glpFKX,4118090,4118390,-
b3926,glpK,4115714,4117222,glpX // glpK // glpF,glpFp,88.66917,-,glpFKX,glpFKX,4118090,4118390,-
b3927,glpF,4117245,4118090,glpX // glpK // glpF,glpFp,88.70215,-,glpFKX,glpFKX,4118090,4118390,-
b3928,zapB,4118515,4118760,zapB,,88.72951,+,yiiU,zapB,4118215,4118515,+
b3929,rraA,4118845,4119330,menA // rraA,menAp1 // rraAp // menAp2,88.73662,-,menA-rraA // rraA // menA-rraA,menA-rraA,4120349,4120649,-
b3930,menA,4119423,4120349,menA // rraA,menAp1 // menAp2,88.74907,-,menA-rraA // menA-rraA,menA-rraA,4120349,4120649,-
b3931,hslU,4120416,4121747,hslU // hslV,hslVp,88.77046,-,hslVU,hslVU,4122287,4122587,-
b3932,hslV,4121757,4122287,hslU // hslV,hslVp,88.799355,-,hslVU,hslVU,4122287,4122587,-
b3933,ftsN,4122380,4123339,,,88.812775,-,,,4123339,4123639,-
b3934,cytR,4123431,4124456,cytR,cytRp,88.83542,-,cytR,cytR,4124456,4124756,-
b3935,priA,4124612,4126810,priA,,88.86086,-,priA,priA,4126810,4127110,-
b3936,rpmE,4127013,4127225,rpmE,rpmEp1 // rpmEp2,88.91259,+,rpmE // rpmE,rpmE,4126713,4127013,+
b3937,yiiX,4127286,4127894,yiiX,,88.91847,-,yiiX,yiiX,4127894,4128194,-
b3938,metJ,4128078,4128395,metJ,metJp3 // metJp2 // metJp1,88.93554,-,metJ // metJ // metJ,metJ,4128395,4128695,-
b3939,metB,4128672,4129832,metL // metB,metBp,88.94833,+,metBL,metBL,4128372,4128672,+
b3940,metL,4129835,4132267,metL // metB,metBp,88.97339,+,metBL,metBL,4128372,4128672,+
b3941,metF,4132616,4133506,metF,metFp,89.0333,+,metF,metF,4132316,4132616,+
b3942,katG,4133835,4136015,katG,katGp,89.05956,+,katG,katG,4133535,4133835,+
b3943,yijE,4136108,4137013,yijE,,89.108536,+,yijE,yijE,4135808,4136108,+
b3944,yijF,4137040,4137657,yijF,,89.12862,-,yijF,yijF,4137657,4137957,-
b3945,gldA,4137932,4139035,ptsA // fsaB // gldA,,89.14783,-,ptsA-fsaB-gldA,ptsA-fsaB-gldA,4142221,4142521,-
b3946,fsaB,4139046,4139708,ptsA // fsaB // gldA,,89.17183,-,ptsA-fsaB-gldA,ptsA-fsaB-gldA,4142221,4142521,-
b3947,ptsA,4139720,4142221,ptsA // fsaB // gldA,,89.186356,-,ptsA-fsaB-gldA,ptsA-fsaB-gldA,4142221,4142521,-
b3949,frwC,4142530,4143609,frwB // frwC,,89.24689,+,frwCB,frwCB,4142230,4142530,+
b3950,frwB,4143624,4143944,frwB // frwC,,89.27046,+,frwCB,frwCB,4142230,4142530,+
b3951,pflD,4143995,4146292,pflD // pflC,,89.27845,+,pflDC,pflDC,4143695,4143995,+
b3952,pflC,4146258,4147136,pflD // pflC,,89.3272,+,pflDC,pflDC,4143695,4143995,+
b3953,frwD,4147138,4147479,frwD,,89.34616,+,frwD,frwD,4146838,4147138,+
b3954,yijO,4147466,4148317,yijO,,89.353226,-,yijO,yijO,4148317,4148617,-
b3955,eptC,4148532,4150265,eptC,,89.37619,-,eptC,eptC,4150265,4150565,-
b3956,ppc,4150447,4153098,ppc,ppcp,89.41745,-,ppc,ppc,4153098,4153398,-
b3957,argE,4153696,4154847,argE,argEp2 // argEp1,89.48745,-,argE // argE,argE,4154847,4155147,-
b3958,argC,4155001,4156005,argC // argB // argH,argCp,89.515564,+,argCBH,argCBH,4154701,4155001,+
b3959,argB,4156013,4156789,argC // argB // argH,argCp,89.53743,+,argCBH,argCBH,4154701,4155001,+
b3960,argH,4156850,4158223,argC // argB // argH,argCp,89.5554,+,argH // argCBH,argCBH,4154701,4155001,+
b3961,oxyR,4158490,4159407,oxyR,oxyRp2 // oxyRp,89.59074,+,oxyR // oxyR,oxyR,4158190,4158490,+
b3962,sthA,4159390,4160790,sthA,sthAp,89.61012,-,sthA,sthA,4160790,4161090,-
b3963,fabR,4161067,4161771,yijD // fabR,,89.64625,+,fabR-yijD,fabR-yijD,4160767,4161067,+
b3964,yijD,4161771,4162130,yijD // fabR,,89.66142,+,fabR-yijD,fabR-yijD,4160767,4161067,+
b3965,trmA,4162170,4163270,trmA,trmAp,89.67001,-,trmA,trmA,4163270,4163570,-
b3966,btuB,4163639,4165483,murI // btuB,btuBp,89.70167,+,btuB-murI,btuB-murI,4163339,4163639,+
b3967,murI,4165428,4166285,murI // btuB,btuBp,89.740204,+,btuB-murI,btuB-murI,4163339,4163639,+
b3968,rrsB,4166659,4168200,gltT // rrsB // rrfB // rrlB,rrsBp // rrsBp2 // rrsBp1,89.76672,+,rrsB-gltT-rrlB-rrfB // rrsB-gltT-rrlB-rrfB // rrsB-gltT-rrlB-rrfB,rrsB-gltT-rrlB-rrfB,4166359,4166659,+
b3969,gltT,4168372,4168447,gltT // rrsB // rrfB // rrlB,rrsBp // rrsBp2 // rrsBp1,89.80363,+,rrsB-gltT-rrlB-rrfB // rrsB-gltT-rrlB-rrfB // rrsB-gltT-rrlB-rrfB,rrsB-gltT-rrlB-rrfB,4166359,4166659,+
b3970,rrlB,4168641,4171544,gltT // rrsB // rrfB // rrlB,rrsBp // rrlBp // rrsBp2 // rrsBp1,89.809425,+,rrsB-gltT-rrlB-rrfB // rrlB-rrfB // rrsB-gltT-rrlB-rrfB // rrsB-gltT-rrlB-rrfB,rrsB-gltT-rrlB-rrfB,4166359,4166659,+
b3971,rrfB,4171637,4171756,gltT // rrsB // rrfB // rrlB,rrsBp // rrlBp // rrsBp2 // rrsBp1,89.87397,+,rrsB-gltT-rrlB-rrfB // rrlB-rrfB // rrsB-gltT-rrlB-rrfB // rrsB-gltT-rrlB-rrfB,rrsB-gltT-rrlB-rrfB,4166359,4166659,+
b3972,murB,4172057,4173085,birA // murB,,89.88302,+,murB-birA,murB-birA,4171757,4172057,+
b3973,birA,4173082,4174047,birA // murB,,89.9051,+,murB-birA,murB-birA,4171757,4172057,+
b3974,coaA,4174076,4175026,coaA,coaAp,89.92651,-,coaA,coaA,4175026,4175326,-
b3975,b3975,4175213,4175368,,,89.94673,-,,,4175368,4175668,-
b3976,thrU,4175388,4175463,tufB // thrU // tyrU // glyT // thrT,thrUp,89.95478,+,thrU-tyrU-glyT-thrT-tufB,thrU-tyrU-glyT-thrT-tufB,4175088,4175388,+
b3977,tyrU,4175472,4175556,tufB // thrU // tyrU // glyT // thrT,thrUp,89.9566,+,thrU-tyrU-glyT-thrT-tufB,thrU-tyrU-glyT-thrT-tufB,4175088,4175388,+
b3978,glyT,4175673,4175747,tufB // thrU // tyrU // glyT // thrT,thrUp,89.96092,+,thrU-tyrU-glyT-thrT-tufB,thrU-tyrU-glyT-thrT-tufB,4175088,4175388,+
b3979,thrT,4175754,4175829,tufB // thrU // tyrU // glyT // thrT,thrUp,89.96267,+,thrU-tyrU-glyT-thrT-tufB,thrU-tyrU-glyT-thrT-tufB,4175088,4175388,+
b3980,tufB,4175944,4177128,tufB // thrU // tyrU // glyT // thrT,thrUp,89.96676,+,thrU-tyrU-glyT-thrT-tufB,thrU-tyrU-glyT-thrT-tufB,4175088,4175388,+
b3981,secE,4177358,4177741,secE // nusG,secEp,89.99722,+,secE-nusG,secE-nusG,4177058,4177358,+
b3982,nusG,4177743,4178288,secE // nusG,secEp,90.005516,+,secE-nusG,secE-nusG,4177058,4177358,+
b3983,rplK,4178447,4178875,rplA // rplK // rplJ // rplL // rpoC // rpoB,rplKp,90.02068,+,rplKAJL-rpoBC,rplKAJL-rpoBC,4178147,4178447,+
b3984,rplA,4178879,4179583,rplA // rplK // rplJ // rplL // rpoC // rpoB,rplKp,90.02999,+,rplKAJL-rpoBC,rplKAJL-rpoBC,4178147,4178447,+
b3985,rplJ,4179996,4180493,rplA // rplK // rplJ // rplL // rpoC // rpoB,rplKp // rplJp,90.05406,+,rplKAJL-rpoBC // rplJL-rpoBC,rplKAJL-rpoBC,4178147,4178447,+
b3986,rplL,4180560,4180925,rpoC // rpoB // rplL // rplJ // rplA // rplK,rplLp // rplKp // rplJp,90.06621,+,rplL // rplKAJL-rpoBC // rplJL-rpoBC,rplKAJL-rpoBC,4178147,4178447,+
b3987,rpoB,4181245,4185273,rplA // rplK // rplJ // rplL // rpoC // rpoB,rplKp // rpoBp // rplJp,90.08096,+,rplKAJL-rpoBC // rpoBC // rplJL-rpoBC,rplKAJL-rpoBC,4178147,4178447,+
b3988,rpoC,4185350,4189573,rplA // rplK // rplJ // rplL // rpoC // rpoB,rplKp // rpoBp // rplJp,90.1694,+,rplKAJL-rpoBC // rpoBC // rplJL-rpoBC,rplKAJL-rpoBC,4178147,4178447,+
b3989,yjaZ,4189786,4190325,yjaZ,yjaZp,90.26498,+,yjaZ,yjaZ,4189486,4189786,+
b3990,thiH,4190735,4191868,thiS // thiH // thiG // thiF // thiE // thiC,thiCp,90.28542,-,thiCEFSGH,thiCEFSGH,4196099,4196399,-
b3991,thiG,4191865,4192635,thiS // thiH // thiG // thiF // thiE // thiC,thiCp,90.30976,-,thiCEFSGH,thiCEFSGH,4196099,4196399,-
b3992,thiF,4192821,4193576,thiS // thiH // thiG // thiF // thiE // thiC,thiCp,90.33036,-,thiCEFSGH,thiCEFSGH,4196099,4196399,-
b3993,thiE,4193569,4194204,thiS // thiH // thiG // thiF // thiE // thiC,thiCp,90.34647,-,thiCEFSGH,thiCEFSGH,4196099,4196399,-
b3994,thiC,4194204,4196099,thiS // thiH // thiG // thiF // thiE // thiC,thiCp,90.36016,-,thiCEFSGH,thiCEFSGH,4196099,4196399,-
b3995,rsd,4196332,4196808,rsd,rsdp2 // rsdp1,90.406,-,rsd // rsd,rsd,4196808,4197108,-
b3996,nudC,4196903,4197676,nfi // hemE // nudC,,90.418304,+,nudC-hemE-nfi,nudC-hemE-nfi,4196603,4196903,+
b3997,hemE,4197716,4198780,nfi // hemE // nudC,,90.43582,+,nudC-hemE-nfi,nudC-hemE-nfi,4196603,4196903,+
b3998,nfi,4198790,4199461,nfi // hemE // nudC,,90.45896,+,nudC-hemE-nfi,nudC-hemE-nfi,4196603,4196903,+
b3999,yjaG,4199504,4200094,yjaG,,90.474335,+,yjaG,yjaG,4199204,4199504,+
b4000,hupA,4200281,4200553,hupA,hupAp,90.49108,+,hupA,hupA,4199981,4200281,+
b4001,yjaH,4200566,4201261,yjaH,,90.49722,+,yjaH,yjaH,4200266,4200566,+
b4002,zraP,4201263,4201688,zraP,zraPp,90.51224,-,zraP,zraP,4201688,4201988,-
b4003,zraS,4201926,4203323,zraR // zraS,zraSp,90.52652,+,zraSR,zraSR,4201626,4201926,+
b4004,zraR,4203320,4204645,zraR // zraS,zraSp,90.55655,+,zraSR,zraSR,4201626,4201926,+
b4005,purD,4204642,4205931,purD // purH,purHp,90.58504,-,purHD,purHD,4207532,4207832,-
b4006,purH,4205943,4207532,purD // purH,purHp,90.61306,-,purHD,purHD,4207532,4207832,-
b4007,rrsE,4208147,4209688,gltV // rrsE // rrfE // rrlE,rrsEp3 // rrsEp2 // rrsEp1,90.660545,+,rrsE-gltV-rrlE-rrfE // rrsE-gltV-rrlE-rrfE // rrsE-gltV-rrlE-rrfE,rrsE-gltV-rrlE-rrfE,4207847,4208147,+
b4008,gltV,4209774,4209849,gltV // rrsE // rrfE // rrlE,rrsEp3 // rrsEp2 // rrsEp1,90.695595,+,rrsE-gltV-rrlE-rrfE // rrsE-gltV-rrlE-rrfE // rrsE-gltV-rrlE-rrfE,rrsE-gltV-rrlE-rrfE,4207847,4208147,+
b4009,rrlE,4210043,4212946,gltV // rrsE // rrfE // rrlE,rrsEp3 // rrlEp // rrsEp2 // rrsEp1,90.70139,+,rrsE-gltV-rrlE-rrfE // rrlE-rrfE // rrsE-gltV-rrlE-rrfE // rrsE-gltV-rrlE-rrfE,rrsE-gltV-rrlE-rrfE,4207847,4208147,+
b4010,rrfE,4213040,4213159,gltV // rrsE // rrfE // rrlE,rrsEp3 // rrlEp // rrsEp2 // rrsEp1,90.76596,+,rrsE-gltV-rrlE-rrfE // rrlE-rrfE // rrsE-gltV-rrlE-rrfE // rrsE-gltV-rrlE-rrfE,rrsE-gltV-rrlE-rrfE,4207847,4208147,+
b4011,yjaA,4213234,4213617,yjaA,,90.770134,+,yjaA,yjaA,4212934,4213234,+
b4012,yjaB,4213680,4214123,yjaB,,90.77975,-,yjaB,yjaB,4214123,4214423,-
b4013,metA,4214280,4215209,metA,metAp2 // metAp1,90.79267,+,metA // metA,metA,4213980,4214280,+
b4014,aceB,4215478,4217079,aceB // aceA // aceK,aceBp,90.81848,+,aceBAK,aceBAK,4215178,4215478,+
b4015,aceA,4217109,4218413,aceB // aceA // aceK,aceBp,90.85362,+,aceBAK,aceBAK,4215178,4215478,+
b4016,aceK,4218596,4220332,aceB // aceA // aceK,aceKp // aceBp,90.88566,+,aceK // aceBAK,aceBAK,4215178,4215478,+
b4017,arpA,4220301,4222487,arpA,,90.92239,-,arpA,arpA,4222487,4222787,-
b4018,iclR,4222804,4223628,iclR,iclRp,90.97632,-,iclR,iclR,4223628,4223928,-
b4019,metH,4223828,4227511,metH,metHp2 // metHp1,90.998375,+,metH // metH,metH,4223528,4223828,+
b4020,yjbB,4227731,4229362,yjbB,yjbBp,91.082466,+,yjbB,yjbB,4227431,4227731,+
b4021,pepE,4229453,4230142,pepE,,91.11956,-,pepE,pepE,4230142,4230442,-
b4022,rluF,4230354,4231226,rluF,,91.13897,+,rluF,rluF,4230054,4230354,+
b4023,yjbD,4231359,4231631,yjbD,,91.16062,-,yjbD,yjbD,4231631,4231931,-
b4024,lysC,4231884,4233233,lysC,lysCp2 // lysCp1,91.171936,-,lysC // lysC,lysC,4233233,4233533,-
b4025,pgi,4233758,4235407,pgi,pgip2 // pgip,91.21231,+,pgi // pgi,pgi,4233458,4233758,+
b4026,yjbE,4235906,4236148,yjbH // yjbG // yjbF // yjbE,yjbEp2 // yjbEp1 // yjbEp1,91.25858,+,yjbEFGH // yjbEFGH // yjbE,yjbEFGH,4235606,4235906,+
b4027,yjbF,4236262,4236900,yjbH // yjbG // yjbF // yjbE,yjbEp2 // yjbEp1,91.26626,+,yjbEFGH // yjbEFGH // yjbFGH,yjbEFGH,4235606,4235906,+
b4028,yjbG,4236897,4237634,yjbH // yjbG // yjbF // yjbE,yjbEp2 // yjbEp1,91.27994,+,yjbEFGH // yjbEFGH // yjbFGH,yjbEFGH,4235606,4235906,+
b4029,yjbH,4237634,4239730,yjbH // yjbG // yjbF // yjbE,yjbEp2 // yjbEp1,91.295815,+,yjbEFGH // yjbEFGH // yjbFGH,yjbEFGH,4235606,4235906,+
b4030,psiE,4240325,4240735,psiE,psiEp,91.35379,+,psiE,psiE,4240025,4240325,+
b4031,xylE,4240779,4242254,xylE,xylEp,91.36357,-,xylE,xylE,4242254,4242554,-
b4032,malG,4242626,4243516,malH // malG // malF // malE,malEp,91.403366,-,malEFGH,malEFGH,4246419,4246719,-
b4033,malF,4243531,4245075,malH // malG // malF // malE,malEp,91.42286,-,malEFGH,malEFGH,4246419,4246719,-
b4034,malE,4245229,4246419,malH // malG // malF // malE,malEp,91.45944,-,malEFGH,malEFGH,4246419,4246719,-
b4035,malK,4246784,4247899,malK // lamB // malM,malKp,91.49294,+,malK-lamB-malM,malK-lamB-malM,4246484,4246784,+
b4036,lamB,4247971,4249311,malK // lamB // malM,malKp,91.51852,+,malK-lamB-malM,malK-lamB-malM,4246484,4246784,+
b4037,malM,4249554,4250474,malK // lamB // malM,malKp,91.55262,+,malK-lamB-malM,malK-lamB-malM,4246484,4246784,+
